"","PERIODO_OFICIALIZACION","SUBREGIMEN","REGION_ORIGEN","PAIS_ORIGEN_DESC","REGION_PROCEDENCIA","PAIS_PROCEDENCIA_DESC","MEDIO_TRANSPORTE_DESC","ADUANA_DESC","REGION_ADUANA","UNIDAD_DESC","CAPITULO","PARTIDA","CANTIDAD_UNIDAD","KILOS_NETOS","MONTO_FOB_DOLAR","CANAL"
"2022",201702,"IC04","UE","REINO_UNIDO","UE","REINO_UNIDO","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","82","8207",1103.73,1103.73,154596.6,"N"
"2023",201702,"IC04","NA","MEXICO","NA","MEXICO","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8537",1400,1400,75008.87,"V"
"2024",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","MENDOZA","DIR_REG_AD_CENTRAL","KILOGRAMO","82","8207",179.2,179.2,62866.26,"R"
"2025",201702,"IC05","MS","BRASIL","MS","BRASIL","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",6830.74,6830.74,92503.4,"R"
"2026",201702,"IG04","MS","BRASIL","MS","BRASIL","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",20028.97,20028.97,190049.15,"R"
"2027",201703,"IC03","CN","CHINA","CN","CHINA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8544",10172.01,10172.01,46582.42,"R"
"2028",201701,"IG04","UE","FRANCIA","UE","FRANCIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8537",19435.77,19435.77,547473.58,"N"
"2029",201703,"IC05","CN","CHINA","MS","BRASIL","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8536",11279.53,11279.53,285002.53,"R"
"2030",201703,"IG05","MS","BRASIL","MS","BRASIL","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",21720.83,21720.83,220556.79,"R"
"2031",201702,"IC05","CN","CHINA","CN","CHINA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",18725.1,18725.1,97919.76,"R"
"2032",201703,"IG07","UE","REP_FED_DE_ALEMANIA","UE","ITALIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",4948.14,4948.14,54112.83,"R"
"2033",201701,"IG04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8537",4100.39,4100.39,3e+05,"V"
"2034",201703,"IG04","XX","COREA_REPUBLICANA","XX","COREA_REPUBLICANA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",4900.03,4900.03,104163.17,"N"
"2035",201702,"IC03","MS","BRASIL","MS","BRASIL","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8503",51859.94,51859.94,76094.72,"V"
"2036",201702,"IC24","UE","FRANCIA","UE","FRANCIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","88","8803",56.21,56.21,549202.99,"N"
"2037",201703,"IC04","UE","FRANCIA","UE","FRANCIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","87","8708",2170.87,2170.87,45671.97,"R"
"2038",201701,"IC04","UE","ESPANA","UE","ESPANA","CAMION","MENDOZA","DIR_REG_AD_CENTRAL","KILOGRAMO","83","8309",8765,8765,47670.62,"V"
"2039",201701,"IC05","UE","ITALIA","UE","ITALIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8537",8110.73,8110.73,275517.27,"N"
"2040",201703,"IC03","UE","ITALIA","UE","ITALIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8537",8019.69,8019.69,560136.35,"R"
"2041",201701,"IG05","UE","ITALIA","UE","ITALIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","83","8302",4937.39,4937.39,44898.47,"N"
"2042",201701,"IC05","UE","RUMANIA","UE","ITALIA","CAMION","CORDOBA","DIR_REG_AD_CENTRAL","KILOGRAMO","85","8537",2457,2457,242248.58,"R"
